id,name,nasa_jpl_url,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,is_potentially_hazardous,close_approach_date,relative_velocity_kps,miss_distance_km
3781988,(2017 SJ20),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3781988,22.34,90.4804968225,202.3205415331,False,2025-10-02,26.1254135042,56731410.196181146
3782063,(2017 TG1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3782063,22.9,69.9125232246,156.3291544087,False,2025-10-02,15.0777144903,44783877.406871692
3873325,(2019 TA1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3873325,26.1,16.0160337979,35.8129403019,False,2025-10-02,11.7173474999,30330976.953814543
3879167,(2019 TA7),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3879167,26.3,14.6067964271,32.6617897446,False,2025-10-02,26.4724114291,72154359.397358693
54016464,(2020 GE1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54016464,27.1,10.1054341542,22.5964377109,False,2025-10-02,4.6726318347,5256534.067530987
54130760,(2021 EN2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54130760,23.95,43.1077123878,96.3917752536,False,2025-10-02,10.8419893573,60774131.979778553
54185582,(2021 PS16),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54185582,23.12,63.1764148185,141.2667581089,False,2025-10-02,11.9261481621,41747441.194168617
54212589,(2021 UG1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54212589,25.16,24.6919265606,55.212826285,False,2025-10-02,7.6064785732,23104432.652665419
54321452,(2022 UL13),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54321452,23.28,58.6887658036,131.2320698525,False,2025-10-02,11.6249736537,33088937.045668145
54385233,(2023 RG22),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54385233,26.12,15.8691979174,35.4846052917,False,2025-10-02,17.4106829019,46680204.660720668
54393149,(2023 TV9),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54393149,24.72,30.2381332572,67.6145214758,False,2025-10-02,7.5570351211,19385903.291160987
54414145,(2023 XZ2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54414145,27.67,7.7723970203,17.3796080855,False,2025-10-02,5.4206023683,36945858.813277884
54486934,(2024 TZ),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54486934,23.32,57.6175751061,128.836814636,False,2025-10-02,22.4859292979,21009242.317302931
54545769,(2025 SH),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54545769,27.383,8.8706404517,19.8353550539,False,2025-10-02,3.7297175659,1393391.526813677
54546119,(2025 SY),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54546119,26.952,10.8181992643,24.1902289492,False,2025-10-02,5.882225555,4673627.792170001
54546407,(2025 SB2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54546407,24.769,29.5634406443,66.1058629295,False,2025-10-02,4.6391294296,26318432.321829702
54546465,(2025 SS2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54546465,24.244,37.649132746,84.186020114,False,2025-10-02,9.5854976818,20374562.029269172
54549111,(2025 SV21),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54549111,26.14,15.7237082364,35.1592804749,False,2025-10-02,7.2152478505,9128731.393324722
54549117,(2025 SN23),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54549117,24.486,33.6786734205,75.3078031602,False,2025-10-02,11.9995883073,11673450.253183372
54549696,(2025 TG),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54549696,27.027,10.4509309084,23.3689919393,False,2025-10-02,6.0634960089,1996332.592195904
54550575,(2025 TP1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54550575,27.475,8.5026632016,19.0125329085,False,2025-10-02,12.6265620355,225395.176305019
2152664,152664 (1998 FW4),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2152664,19.68,308.003021266,688.7156928262,True,2025-09-29,18.6064298526,3852719.354004421
